10844,15188,16153,15979,15758,16111,15526,15013,14612,14040,17910,16793,15345,16382,16380,15705,16809,16614,17011,16354,17205,16292,16000,18028,16637,17770,16534,14379,16478,16454,14428
8127,15483,15548,16314,14653,16049,15672,15376,14814,15063,16565,16685,15222,15798,15414,15880,16199,16155,16373,16002,17634,16317,15641,17733,16135,17843,16220,14113,16071,17460,14402
6210,15338,16500,16002,15786,16084,16419,14922,15398,15073,18380,15824,15213,15584,16720,15693,16758,15502,17097,15560,18189,16104,16373,17678,16513,17279,16650,13982,17036,17295,14747
4656,16242,16726,16845,15554,16640,16083,16122,15511,15834,18294,17040,16167,16544,17137,16643,17679,16293,17364,16855,19319,16967,16830,18275,17025,18264,17395,14514,17167,17872,13915
3820,16579,16838,17009,16332,16634,16352,16229,15828,16567,19585,17360,16210,17377,18046,16929,18148,16885,18333,17292,18757,17035,17470,18070,18231,18359,17895,15268,18607,17517,11432
2873,16885,16550,17302,15602,17210,16535,16481,15396,16955,19323,18501,16393,18345,18110,17698,18644,17759,18428,17780,17239,17976,18131,19038,17722,18664,17701,16675,19387,18228,9659
2369,16824,16621,16649,14931,16546,16248,16424,15109,17408,18113,18143,14797,18004,17087,17429,17183,18533,16974,18467,14885,18230,16870,18998,16477,18428,17989,17423,16274,17900,7681
2064,16238,15657,16857,13817,16798,14959,15719,14787,16857,16472,16972,13755,16863,15794,17248,16196,17617,16139,17048,13577,16521,15192,16932,14298,15976,16737,16521,15210,18245,6257
2221,15702,15334,15733,13611,15124,14201,15087,14532,16002,16007,16098,13960,15714,15965,16219,15534,16279,15205,15386,13513,14887,14453,15201,13229,13994,15371,15352,14695,17379,5520
2158,15132,17584,15537,14678,14870,16142,14465,16387,15826,18299,15878,16248,14743,18732,15918,18451,15551,17392,15329,15864,13707,17382,14426,15523,12958,17519,14644,16686,16921,5159
2515,17500,20903,17362,16669,16956,18163,16588,18242,16961,20385,18183,18272,17579,21107,17780,20950,18199,20141,17444,18502,16596,19815,16942,17795,15433,18500,17059,19234,17309,5283
4364,19167,21968,19639,18171,18613,20715,17923,19715,17779,22906,20482,20440,21604,23450,19414,23192,20618,22581,19765,20313,18683,21750,19768,20424,17793,20064,19269,21350,18431,5821
6526,21398,26945,22891,20033,21126,21256,20054,20288,17578,24153,23314,21524,23120,24200,21594,24655,22703,23098,22418,20674,20289,22217,21911,21017,19903,20153,21361,22150,19142,5586
11039,22382,24416,22920,20467,22510,21528,21402,20761,17777,24545,24477,21828,22717,24518,24915,24094,23897,23154,22794,21079,21377,21813,22917,21475,20358,20364,21906,21582,19449,4729
13857,22270,22401,22941,20263,22568,20720,21523,19466,17764,23635,24387,22825,22757,23704,24556,23285,24329,22688,23094,21433,21962,21536,23371,22549,20800,18808,21994,20321,18494,4402
15865,20575,23549,21849,18901,21668,20604,20447,19670,17130,23773,24193,22647,22311,22112,22341,22083,23182,22047,22197,20590,21126,22541,23343,21924,19898,17718,20678,20071,17217,3877
17920,18824,21498,20483,18249,21659,19786,20431,18802,16641,23212,24388,22210,21642,20986,22343,21485,21778,21283,21796,19515,20531,21329,22358,21131,18981,16678,19248,18532,16075,3384
20346,17909,23114,18868,18421,21278,19471,19708,18709,16884,21918,22725,22426,20568,21032,21619,21579,21251,21070,20849,20194,19217,20165,22302,21393,19600,17523,17546,18801,15157,3203
